ID,Title,Keywords1,Keywords2,Abstract,Year
47,Out-of-classroom L2 vocabulary acquisition: The effects of digital activities and school vocabulary,digital activities and vocabulary learning; extramural learning; out-of-school learning; out-of-school vocabulary learning; prior vocabulary knowledge effect,LEARNING VOCABULARY; LANGUAGE; PROFICIENCY; TELEVISION; LEARNERS; INPUT; 2ND-LANGUAGE; FREQUENCY; WORDS; SIZE,"Extramural exposure, through activities such as watching TV, gaming, networking, and online reading, has become an important source of vocabulary acquisition in English as a foreign language, particularly when learners' first language (L1) has many cognates with English. Our study examined extramural vocabulary acquisition of 10th-grade L1 speakers of noncognate languages over one school year and explored the effects of digital activities and initial lexical knowledge of the participants on their vocabulary gains. Learners reported the amount of digital activity, took a vocabulary pretest, and kept vocabulary diaries where they recorded, on a weekly basis, the new words they encountered. At the end of the study, each student took a personalized test that included all the words recorded in their personal diary. The results indicate that (a) all learners gained some out-of-school word knowledge, (b) students with better initial vocabulary knowledge gained more words, and (c) the initial knowledge contributed to out-of-school learning more than the amount of digital activity. image",2023
48,Amplifying test-taker voices in the validation of L2 writing assessment tasks,L2 writing assessment; Test-taker perceptions; English for academic purposes; Test task characteristics; Construct validity,PERFORMANCE; STUDENT,"Studies have documented how L2 writers utilize digital tools to mediate the process of writing, yet little is known about test-takers' perceptions of the utility of digital tools in writing assessment tasks. In a previous investigation (Pusey & Butler, in press), we found that international graduate students' writing performance was different on assessment tasks that varied in terms of access to external writing resources (e.g., spell-check, dictionaries, internet content searches). To better understand the mechanisms underlying these different outcomes, participants' (n = 20) perceptions of the two task conditions (with or without access to external resources) were examined based on a questionnaire. Results indicated that participants tended to perceive writing tasks that permit access to external resources as more similar to university writing and as better vehicles for demonstrating their academic writing ability. However, they also perceived this task condition as more difficult than the one which disallowed use of external resources. Regarding enjoyment, test-takers' perceptions were almost evenly divided. Moreover, additional construct-irrelevant factors (e.g., topic, time, task characteristics and processes) appeared to influence perceptions of the tasks. The findings demonstrate the value of listening to test-taker voices to identify construct-irrelevant factors in writing assessments within the context of an increasingly digitalized world.",2024
49,Developments in classroom-based research on L2 writing,second language writing; classroom research; pen-and-paper writing; digital writing,WRITTEN CORRECTIVE FEEDBACK; ESL STUDENTS; TEACHER FEEDBACK; GENRE KNOWLEDGE; ENGLISH; WRITERS; PERCEPTIONS; REVISION; BELIEFS; NEGOTIATIONS,"This paper reviews and reflects on developments in classroom-based research on second or foreign language (L2) writing from 2001 to 2020, based on scholarship drawn from the Journal of Second Language Writing, the flagship journal of the field. The review covers a total of 75 classroom-based studies and examines the major research themes and key findings under three research strands: (1) students and student learning of writing; (2) teachers and teaching of writing; and (3) classroom assessment and feedback, as well as the key theories and research methodologies adopted in extant classroom-based studies on L2 writing. The article ends with a discussion of the practical implications arising from the review, as well as potential research gaps that inform future directions for L2 writing classroom-based research. By providing a state-of-the-art review of developments in classroom-based research on L2 writing, this article contributes to a nuanced understanding of salient issues about learning, teaching and assessment of writing that take place in naturalistic classroom contexts, with relevant implications for both L2 writing practitioners and researchers.",2022
50,"Writing with 21st century social tools in the L2 classroom: New literacies, genres, and writing practices",New literacies; Social tools; Social semiotics; Genres; Affordances,DIGITAL LITERACIES; FOREIGN-LANGUAGE; FEEDBACK; MULTIMODALITY; TECHNOLOGY; NETWORKING; ATTENTION; REVISION; IMPACT; FORM,"This conceptual article argues that the second language (L2) curriculum must incorporate broader notions of literacies, associated with the development of new digital genres. This article shows how the affordances of social tools can affect and enhance L2 learners' writing practices and broaden their understanding of genre. As they become fully aware of the qualitative changes that social tools bring to the writing process, instructors will see the benefits of their integration in the L2 writing classroom. The article argues for the need to (1) question and redefine L2 writing pedagogy by reevaluating literacy, writing genres, and associated instructional practices in the L2 classroom; (2) acknowledge the acute transformation from traditional notions of literacies to notions of digital literacies; (3) recognize the affordances of social tools and argue how L2 learners can more efficiently acquire and practice digital literacies; and (4) provide pedagogical frameworks to foster L2 writing in an increasingly digital age. Finally, the article's conclusion highlights valuable avenues for future research.",2017
51,Understanding willingness to communicate in L2 between Korean and Taiwanese students,comparative study; instructional and institutional support; Korean EFL students; Taiwanese EFL students; willingness to communicate in English,LEARNERS WILLINGNESS; 2ND-LANGUAGE; CLASSROOM; ANXIETY; PERSONALITY; IMMERSION; ATTITUDES; ABROAD; TASK,"This study examined Korean (n = 143) and Taiwanese (n = 261) EFL students' willingness to communicate in a second language (L2 WTC) in in-class, out-of-class, and digital settings. Follow-up interviews (n = 20) were also conducted to identify factors that might have influenced their L2 WTC. Results showed that Korean and Taiwanese participants scored lowest on L2 WTC inside the classroom. The qualitative data suggest that L2 speaking anxiety might have equally influenced both groups' L2 WTC. Additionally, while Korean students scored higher on L2 WTC outside the classroom than Taiwanese students, the Taiwanese scored higher on L2 WTC in digital settings than did the Koreans. The qualitative data revealed that these discrepancies might have been influenced by English environment and teaching practice. These findings suggest that East Asian learners of English as a foreign language (EFL) can become more willing to communicate when sufficient opportunities for English use are provided through instructional and institutional support.",2022
52,Promoting EFL learners' willingness to communicate through transmediation in a digital storytelling workshop,Transmediation; interpretant; digital storytelling; willingness to communicate; multimodal composing practices,2ND-LANGUAGE SPEECH FLUENCY; CLASSROOM ENVIRONMENT; MULTILITERACIES; LANGUAGE; STORIES; ENGLISH; SYSTEM; 2ND; L2,"Technology-mediated communication has become ubiquitous and digital multimodal learning has been increasingly integrated into second language education. Drawing on the concepts of transmediation and interpretant in social semiotic theories, this study explores the potential of digital storytelling (DST) in promoting EFL learners' willingness to communicate (WTC) through transmediation. A DST workshop was offered to 69 undergraduate students in China, and the workshop was intentionally designed to consist of prescript writing, video making, and postscript writing, which induced transmediation. Data sources included DST videos produced by the participating students, their prescripts and postscripts, and interviews, with a micro-level analysis conducted on two focal students. The results showed that the participants' L2 WTC significantly increased in the writing of the postscripts than the prescripts. Three interpretants generated through transmediation were identified to be associated with students' increased L2 WTC: expanded retrospective narratives, deepened perception, and evoked sentiments. Based on these findings, pedagogical implications for implementing DST projects as a fine example of multimodal composing practices in promoting EFL learners' L2 WTC and multimodal communicative competence are provided.",2022
53,WEB-BASED COLLABORATIVE WRITING IN L2 CONTEXTS: METHODOLOGICAL INSIGHTS FROM TEXT MINING,Collaborative Learning; Writing; Digital Literacies; Research Methods,2.0 TECHNOLOGIES; LANGUAGE; STUDENTS; WIKIS; FACILITATE; LEARNERS,"The increasingly widespread use of social software (e.g., Wikis, Google Docs) in second language (L2) settings has brought a renewed attention to collaborative writing. Although the current methodological approaches to examining collaborative writing are valuable to understand L2 students' interactional patterns or perceived experiences, they can be insufficient to capture the quantity and quality of writing in networked online environments. Recently, the evolution of techniques for analyzing big data has transformed many areas of life, from information search to marketing. However, the use of data and text mining for understanding writing processes in language learning contexts is largely underexplored. In this article, we synthesize the current methodological approaches to researching collaborative writing and discuss how new text mining tools can enhance research capacity. These advanced methods can help researchers to elucidate collaboration processes by analyzing user behaviors (e. g., amount of editing, participation equality) and their link to writing outcomes across large numbers of exemplars. We introduce key research examples to illustrate this potential and discuss the implications of integrating the tools for L2 collaborative writing research and pedagogy.",2017
54,The role of digital literacy in student engagement with automated writing evaluation (AWE) feedback on second language writing,Digital literacy; student engagement; AWE feedback; second language writing,WRITTEN-CORRECTIVE-FEEDBACK; ENGLISH-LANGUAGE LEARNERS; IMPACT,"Research on second language (L2) writing suggests that student engagement with automated writing evaluation (AWE) feedback is influenced by various individual and contextual factors. Little attention, however, has been given to the role that students' digital literacy can play in this process. Increasingly, digital literacy is becoming indispensable in language teaching and learning as reading, writing, and communicating are conducted and mediated by digital technologies. This study explores how seven L2 students engaged with AWE feedback on their L2 writing in a Chinese university, analysing data collected from student written texts, AWE feedback, and student interviews. We found that the students engaged with AWE feedback in different ways in terms of their perceptions, attitudes, and revisions. The study shows that students' digital literacy has considerable impact on how they engaged with AWE feedback regardless of their L2 proficiency. We argue that L2 students' digital literacy, characterised by an awareness of the affordances and constraints of technologies, an ability to evaluate digital information, and a willingness to use digital technologies for peer collaboration, can be a key factor in effective student engagement with AWE feedback on L2 writing.",2023
55,"Digital Language Learning (DLL): Insights from Behavior, Cognition, and the Brain",digital language learning; second language acquisition; bilingual representation; social learning; neurocognition of language,ROLE-PLAYING GAMES; PRECISION EDUCATION; PEDAGOGICAL AGENTS; SOCIAL-INTERACTION; VIRTUAL-REALITY; 2ND-LANGUAGE; STUDENTS; MEMORY; ENVIRONMENTS; ACQUISITION,"How can we leverage digital technologies to enhance language learning and bilingual representation? In this digital era, our theories and practices for the learning and teaching of second languages (L2) have lagged behind the pace of scientific advances and technological innovations. Here we outline the approach of digital language learning (DLL) for L2 acquisition and representation, and provide a theoretical synthesis and analytical framework regarding DLL's current and future promises. Theoretically, DLL provides a forum for understanding differences between child language and adult L2 learning, and the effects of learning context and learner characteristics. Practically, findings from learner behaviors, cognitive and affective processing, and brain correlates can inform DLL-based language pedagogies. Because of its highly interdisciplinary nature, DLL can serve as an approach to integrate cognitive, social, affective, and neural dimensions of L2 learning with new and emerging technologies including VR, AI, and big data analytics.",2022
56,Fostering EFL Learners' Digital Empathy through Multimodal Composing,Digital empathy; digital multimodal composing; video production; new literacy; English learning,ENGLISH; LITERACY,"The emergent cyber-violence along with the omnipresence of digital media has made the development of English as a Foreign Language (EFL) learners' digital empathy a shared concern among contemporary language educators. Yet how this could be done in EFL/ second language (L2) pedagogies remains underexplored. Informed by a conceptualization of digital empathy as 'cognitive and emotional ability to be reflective and socially responsible while strategically using digital media', this study reports on a study that explores whether and how digital empathy can be fostered through a pedagogic innovation that engages students with digital multimodal composing (DMC) of videos in their conventional English curriculum. Aligning with a DMC approach to literacy through which learners were encouraged to construct meanings by drawing on multiple modes from their everyday media experiences, this study took place in a secondary English classroom at a vocational school in China. Data from interviews, observations and student-authored videos and documents showed that the DMC process enhanced students' awareness of having more empathy when engaging with online activities. The findings also show that with such enhanced awareness, students learned to use digital technologies for resolving important social issues and then became more active and responsible participants online. Implications about using DMC as an approach to develop students' digital empathy in the mainstream English curriculum are also discussed.",2020
57,The role of informal digital learning of Korean in KFL students' willingness to communicate,Informal Digital Learning of Korean; willingness to communicate in a second language; Korean as a Foreign Language (KFL); Languages other than English (LOTEs),L2 WILLINGNESS; LANGUAGE; ENGLISH; LEARNERS; PERSONALITY,"This mixed-methods study examines how Informal Digital Learning of Korean (IDL-K) affects willingness to communicate in a second language (L2 WTC). Data were collected from 221 Korean as a Foreign Language (KFL) students (21 nationalities; mean age = 21.8 years). The quantitative analysis revealed that students who engaged in more receptive IDL-K than others reported greater L2 WTC in class, which yielded greater L2 WTC outside of class. However, students who engaged in more productive IDL-K than others reported greater L2 WTC only outside of class. The qualitative findings detailed how IDL-K benefited one KFL student by improving his vocabulary and topic knowledge (receptive) and increasing his interaction with Korean speakers (productive), both of which enhanced his L2 WTC. This is the first study to show how IDL-K affects L2 WTC both in and out of class and to provide new research agendas and innovative pedagogical insights in languages other than English.",2023
58,Collaborative writing in L2 classrooms: A research agenda,,GRAMMATICAL COMPLEXITY; DYNAMIC INTERACTIONS; LEARNERS; WIKI; PAIR; STUDENTS; LANGUAGE; CONVERSATION; ATTENTION; PATTERNS,"Research on second language (L2) collaborative writing (CW) has proliferated over the recent decade and will continue to bloom due to the changing landscape of writing and learning in the digital age. This article provides a research agenda on CW in L2 classrooms. We illustrate six research themes for future research inquiry by pointing out the research gap, following a brief review of theoretical frameworks and existing empirical efforts on CW. We then expound on six specific research tasks that we deem to be pressing for this domain to progress, including more attention to multimodal CW, expanded frameworks for analyzing peer interaction and writing products, deployment of underused research techniques and improved research practice, development of CW assessment practice, as well as the inquiry of practitioners' input on CW. We hope to provide guidance for future research endeavors by identifying avenues of investigations on CW and meanwhile contribute to the trajectory of vibrant research on L2 writing and language learning.",2023
59,Affect and willingness to communicate in digital game-based learning,digital games; digital game-based language learning (DGBLL); willingness to communicate (WTC),FOREIGN-LANGUAGE; EFL CLASSROOM; 2ND-LANGUAGE; ENGLISH; L2; MOTIVATION; ATTITUDES; JAPANESE; MODEL,"The possible benefits of digital games for language learning and teaching have received increasing interest in recent years. Games are said, amongst others, to be motivating, to lower affective barriers in learning, and to encourage foreign or second language (L2) interaction. But how do learners actually experience the use of games? What impact does gameplay have on students' perceptions of themselves as learners, and how does this affect their learning practice? These questions are important as they are likely to influence the success of digital game-based language learning, and as a result the way teachers might integrate games into the curriculum. In this study we investigated the experiences of five students who had participated in a fifteen-week game-based learning program at a university in Thailand. We conducted six interviews with each of them (for a total of 30 interviews) to identify what impact gameplay had in particular on their willingness to communicate in English (MacIntyre, Dornyei, Clement & Noels, 1998). The results showed that gameplay had a number of benefits for the participants in this study, in particular in terms of lowering their affective barriers to learning and increasing their willingness to communicate. We discuss the implications of these results in terms of further research and classroom practice.",2015
60,"From Snaps to Maps: Using Literature, Mobile Applications, and Mapping Software to Design an Engaging L2 Curriculum",apps/aplicaciones; Digital Humanities/humanidades digitales; literature/literatura; maps/mapas; narrative/narrative; pedagogy/pedagogia; second-language acquisition/adquisicion de una segunda lengua,,"This article demonstrates the pedagogical potential of two free digital tools: the mobile app Snapchat and Northwestern University Knight Lab's StoryMap. By combining Snapchat and StoryMap in the second language (L2) literature classroom, students adapt L2 language skills to twenty-first-century modes of communication, collaborate with peers, and creatively cross-disciplinary boundaries. Essential to this approach is the consideration of Snapchat (and image-based social media apps) as a twenty-first century literary genre (Bender 2020), and of mobile apps as interdisciplinary research objects (Morris and Murray 2018). From this point of departure, this essay offers a case study of a medium-inflected DHL2 approach (Cro 2020) to a Spanish literature seminar. It demonstrates how non-traditional, DH-inflected assignments increase student engagement with literature by fostering creativity and productive language play in communicative and analytic contexts. At the curricular level, literature professors' essential role in second-language acquisition becomes visible and active, as DH tools bridge the language/literature split (Bernhardt 2001) in L2 pedagogy and curriculum design in higher education. A creative DHL2 approach that adopts an alternative view of traditional L2 literature content to generate non-traditional assessments will improve L2 literature pedagogy and make literary content relevant to students' personal and professional experiences",2021
61,"Working with Sources in the L2 Student Writer's Assemblage: Technology, Texts, and Research",affect; agencement; redaction en langue seconde; technologie; rhizome,QUALITATIVE RESEARCH; DIGITAL LITERACY; AGE,"This study explores how Deleuzian concepts of assemblage, affect, and rhizome can inform, and transform, our understanding of how technology shapes second language academic writing. More specifically, it focuses on the practice of L2 academic writing as novice writers compose a source-based research paper in an English for Academic Purposes bridging program. The study followed seven student participants over several weeks as they worked on this assignment. Data-collection instruments included ongoing interviews throughout the writing process, document analysis of written drafts, screencast recordings, and researcher diary. Rhizoanalysis was used to analyze the data and map connections between the elements operating in the student writers' assemblage. Vignettes are presented to problematize conventional reading of data and to turn attention to texts in L2 writing research as asignifying machines. Reading participant data differently allows for exploration of the interconnections between the material, affective, and expressive elements and forces in the digital mediated source-based writing process. For these novice L2 student writers, the elements and forces in their assemblage operate in unique and unpredictable ways, producing unforeseen outcomes.",2021
62,Informal Digital Learning of English and willingness to communicate in a second language: self-efficacy beliefs as a mediator,Informal Digital Learning of English; willingness to communicate in a second language; self-efficacy beliefs; Kazakhstan,EFL LEARNERS WILLINGNESS; L2; MOTIVATION; PERSONALITY; TEACHERS; ANXIETY; WILD,"Informal Digital Learning of English (IDLE) is associated with willingness to communicate in a second language (L2 WTC). Although affective mediators (e.g. enjoyment and anxiety) have been found to influence the relationship between IDLE and L2 WTC, it is unclear whether cognitive factors influence IDLE's effects on L2 WTC. This study aims to fill this gap by determining whether self-efficacy beliefs mediate the relationship between IDLE and L2 WTC among 246 Kazakhstani university EFL students. In contrast to previous research in other Asian contexts, our structural equation modelling results revealed that IDLE was not directly related to L2 WTC. Instead, self-efficacy beliefs acted as a full mediator between IDLE constructs and L2 WTC. These findings suggest that EFL students who participate in IDLE activities more frequently have a stronger belief in their own ability to perform various tasks in English, which leads to a greater willingness to communicate. This is the first research of its kind in Kazakhstani EFL context. This is also the first study to show that IDLE and L2 WTC are linked via a cognitive factor. Our research offers a context-specific pedagogical IDLE model to teachers and teacher educators in Kazakhstan and other similar EFL contexts.",2023
63,The challenge was fun: Critical literacy and growth mindset in L2 multiliteracies,Multiliteracies; Second language learning; Student perspectives; Multimodal composing; French; Critical literacy; Growth mindset,DIGITAL LITERACIES; LANGUAGE; STUDENTS; PROJECTS; LEARNERS; CHINESE,"Although second language (L2) experts have advocated for multiliteracies pedagogies in language courses, little is known about how students experience learning with multiliteracies curricula. This article examines the perspectives of 185 undergraduate students enrolled in a fourth -semester French multiliteracies course at a university in the Southwestern United States. Through the theory and pedagogy of multiliteracies, this design-based implementation research investigates how students traversed multimodal composing in 376 video reflections and 265 digital multimodal projects. These data, along with interviews from 10 focal students, are analyzed qualitatively through multimodal transcription, open, axial, and selective coding to illuminate student perceptions. Findings demonstrate how the multimodal projects and the multiliteracies curricula provided students an avenue to develop critical literacy, a growth mindset, and a sense of community. Analysis additionally revealed that students perceived spontaneous speaking and time constraints as tensions in the multiliteracies curriculum. These findings hold implications for designing and scaffolding L2 multiliteracies courses throughout the scope and sequence of university language courses.",2023
64,"Affective variables and willingness to communicate of EFL learners in in-class, out-of-class, and digital contexts",Affective variables; Willingness to communicate; Communicative contexts,LANGUAGE; ANXIETY; MODEL; L2; ATTITUDES; GRIT; FACE,"This study explores the relationship between affective variables (L2 self-confidence, L2 anxiety, L2 motivation, and grit) and willingness to communicate (WTC) in in-class, out-ofclass, and digital contexts. Drawing on a quantitative research design and a sample of 261 Taiwanese EFL undergraduate students, two major findings were identified. First, students with higher levels of grit and L2 confidence had higher L2 WTC in all three communicative settings. It suggests that 1) if EFL students remain steadfast and persistent in learning and using English despite setbacks, and 2) if they are confident about communicating in English, they tend to initiate English communication in both digital and offline settings. Second, lack of L2 anxiety was a significant predictor of students' L2 WTC in non-digital environments (in-class and out-of-class contexts), but not in the digital setting. This suggests that contemporary EFL students may feel more comfortable with digital methods of communicating than conventional offline approaches, whether they use L1 or L2. The study also implies that digital environments may provide social support and additional psychological benefits, which potentially contribute to creating less L2 anxiety-provoking environment for EFL students. Drawn from these findings, pedagogical implications for ELT are also provided. (C) 2019 Elsevier Ltd. All rights reserved.",2019
65,DIGITAL TEXTS FOR LEARNING FINNISH: SHARED RESOURCES AND EMERGING PRACTICES,Digital Texts; Literacy; Reading; Multilingualism,,"Recent studies in the field of new literacies have indicated that a remarkable change in the way we access, consume, and produce information has taken place. The boundaries between concepts such as authorship and ownership have become blurred. This paper will deal with using digital texts in teaching reading comprehension on a university-level course with a special focus on Finnish as a second language. Furthermore, the benefits and challenges of teaching L2 reading comprehension in a multimodal learning environment will be discussed. The three main perspectives utilized are meaningfulness, sharing, and adaptivity. The students attending the course described in the paper were advanced university students from various European countries, who studied Finnish as a second language. The study examines the literacy practices that take place when learners of Finnish as a second language engage in reading and writing blogs in a reading comprehension course. The results of this study indicate that sharing, meaningfulness and adaptivity promote learners' engagement with reading as a social practice and thus support the claim that using blogs represents opportunities to enhance L2 reading comprehension skills.",2013
66,"Embodied modes in L2 French video reflections: Supporting metalinguistic awareness, organization, and community",CALL; discourse analysis; foreign; second language learning; acquisition; French; technologies,LANGUAGE; GESTURE; ENGLISH; MULTILITERACIES; MULTIMODALITY; CHALLENGES; LITERACIES; TESOL,"In recent years, research in multimodality has established the benefits of using multiple semiotic modes like image, sound, and text in digital second language (L2) communication. However, researchers have yet to investigate how L2 learners make meaning through embodied modes-or gestures and facial expressions. Grounded in the social semiotic theory of multimodality, this study leverages multimodal transcription and discourse analysis to describe how 126 college learners of L2 French used embodied modes in their video reflections. Findings reveal how gestures and facial expressions served to augment students' metalinguistic awareness and organizational capacities in French. Further, embodied modes supported students in connecting to their audience. Because online language learning has increased during pandemic times, the findings shed light on the important role of embodied modes in designing L2 video assignments.",2023
67,Digital affordances and teacher agency in the context of teaching Chinese as a second language during COVID-19,Digital affordance; Teacher agency; Reflective teaching; Ecological language pedagogy; Online education; COVID-19; Chinese; Second language,WIKI; STUDENTS; COMMUNITIES; TECHNOLOGY; REFLECTION; ATTENTION; ATTITUDES; PROMOTE; BLOG,"The outbreak of COVID-19 brought about novel digital affordances for second language (L2) teaching by moving all the universities in mainland China abruptly to emergency online schools in early 2020. This unprecedented educational situation prompted teachers to exert more teacher agency on classroom teaching, leading to more discussion on the ecology of L2 teaching in an exploratory online environment. To know more about the relationships between digital affordances and teacher agency during the pandemic, the present study tracked two teachers' reflection on their Chinese language instruction over the 2020 spring semester to investigate how they utilized the special affordances via their teacher agency in L2 remote teaching. Reflective interviews showed their implementation of teacher agency through the use of technologies in relation to their teaching beliefs and social contexts. Framing digital affordances and teacher agency in an ecological view strengthened the links between classroom dynamics and social environment, which also implied adaptable instructional practices and resilient professional trends for future L2 online education.",2022
68,Assessing digital multimodal composing in second language writing: Towards a process-based model,Assessment; Multimodality; Digital video; Multimodal composing; English for specific purposes; Digital multimodal composing,GENRE; COMMUNICATION; LITERACIES; SCIENCE; DESIGN,"Research into digital multimodal composing highlights its potential effectiveness as an engaging, motivating, autonomy-enhancing, voice-enhancing and authentic activity for L2 writers. While considerable work has gone into developing and evaluating pedagogies for digital multimodal composing, one underresearched area is that of assessment. Given that the primary goal of digital multimodal composing is to develop competencies in multiple modes (including language) the question here is how to reflect this goal in the design of appropriate assessment criteria. In particular, teachers and researchers need to establish what dimensions of multimodal communicative competence to assess and how. In this paper, we present a case study of a university English for science course in which one of the assignments is a digital video scientific documentary. The study draws on interviews with teachers in order to determine how they conceive of the multimodal assessment task, including practical issues as well as challenges faced. The article proposes a process-based model for the assessment of digital multimodal composing, which shows how processes of instruction, design activity and assessment interact. Assessment can be planned at different stages of the design activity, draw on formative and summative strategies, and must take into account the orchestration of multimodal affordances.",2020
69,Using collocation clusters to detect and correct English L2 learners' collocation errors,Collocation cluster; collocation error detection; collocation error correction; digital reference tool,DRIVEN; WEB,"In this article, we describe an online English collocation explorer developed to help English L2 learners produce correct and appropriate collocations. Our tool, which is able to visually represent relevant correct/incorrect collocations on a single webpage, was designed based on the notions of collocation clusters and intercollocability proposed by Cowie and Howarth. As they pointed out, in a collocation cluster L2 learners generally cannot distinguish true collocations (e.g., tell truth, state truth, and state fact) from impossible combinations (e.g., *say fact and *say truth). Accordingly, our tool applies natural language processing techniques to construct collocation clusters to enable learners to easily differentiate between correct and incorrect pairs. Relying on data from a reference corpus, our system instantaneously processes the collocability of users' target combination (verb-noun or adj-noun) and all other relevant words and presents true/false collocations that L2 learners should master/avoid. To assess our tool, we investigated its performance in detecting and correcting learners' V-N and A-N errors, with results comparable to those of most previous studies. Piloted using a sample of 13 intermediate- or upper-intermediate level English as a foreign language learners, our tool was found to help them self-correct their collocation errors effectively. Compared with similar tools or approaches, our tool requires much less data resources, but still demonstrates a remarkable capability to detect/correct errors and generate useful collocational knowledge in English.",2021
70,"Snapping the Quijote: Examining L2 Literature, Social Media, and Digital Storytelling through a Cervantine Lens",Don Quijote; graphic novel; Miguel de Cervantes; narrative; popular culture; Snapchat; Spanish literature,,"This paper focuses on an advanced Spanish literature seminar I taught at Kansas State University dedicated entirely to Cervantes's Don Quijote de la Mancha. In an effort to appeal to twenty-first-century students in rural Kansas, I designed my seminar to explore traditional questions of authorship, translation and reading, metafiction, self-invention, and parody, but through the lens of contemporary pop culture, including the graphic novel and mobile applications (apps). Unlike a traditional research paper, this course's non-traditional final assessment required students to place academic scholarship in an alternative, accessible format. It also promoted innovative, analytic interpretations of the novel through the juxtaposition of text, images, video, and sound in a medium in which students already excelled: Snapchat. In what follows, I describe this alternative Snapchat project and its pedagogical justifications, then reflect on the results, student feedback, successes, and limitations. Ultimately, I propose rethinking or reimagining the traditional Don Quijote seminar-and second-language (L2) literature courses and assessments more broadly-by embracing purportedly non-academic technologies like Snapchat, whose reliance on a variety of semiotic tools has the potential to teach traditional skills of literary analysis and increase students' engagement with and understanding of narrative processes.",2020
71,Facilitating EFL students' civic participation through digital multimodal composing,Civic participation; digital multimodal composing; language curricula; English as a foreign language; remixing,CRITICAL LITERACY; INTERCULTURAL CITIZENSHIP; ENGLISH; CURRICULUM; EDUCATION; CULTURE,"Although there is a growing call for L2/EFL teachers to connect the words they teach in classrooms with the world students participate outside classrooms, opportunities for L2/EFL students to engage with civic participation (CP) in language curricula remains limited. Drawing on student-authored videos from a digital multimodal composing (DMC) programme in China, this study reports on students' manifestation of CP during DMC. Data from student-authored videos, classroom observation, and interviews reveal that the students used DMC for three forms of CP, including advocacy of the sexually discriminated, fundraising efforts for the left-behind children stricken by poverty, and promoting civic learning of disease-related knowledge and protection measures. The findings also reveal that these forms of CP were manifested by the students' creative remixing of videos and visuals and ingenious layering of student-generated narrations based on their authentic concerns and community experiences. Implications on how DMC can be used to facilitate students' CP in language curricula are discussed.",2022
72,The story in the mind: the effect of 3D gameplay on the structuring of written L2 narratives,3D digital game-based language learning (3D-DGBLL); digital narrative; gaming; second language and culture development; story map; video games,VOCABULARY; WORLD,"The article reports on a mixed-methods study evaluating the use of a three-dimensional digital game-based language learning (3D-DGBLL) environment to teach German two-way prepositions and specialized vocabulary within a simulated real-world context of German recycling and waste management systems. The study assumed that goal-directed player activity in this environment would configure digital narratives, which in turn would help study participants in the experimental group to co-configure story maps for ordering and making sense of the problem spaces encountered in the environment. The study further assumed that these participants would subsequently rely on the story maps to help them structure written L2 narratives describing an imagined personal experience closely resembling the gameplay of the 3D-DGBLL environment. The study found that immersion in the 3D-DGBLL environment influenced the manner in which the second language was invoked in these written narratives: Participants in the experimental group produced narratives containing more textual indicators describing the activity associated with the recycling and waste management systems and the spaces in which these systems are located. Increased usage of these indicators suggest that participants in the experimental group did indeed rely on story maps generated during 3D gameplay to structure their narratives, although stylistic and grammatical features of the narratives suggest, however, that changes could be made to the curricular implementation of the 3D-DGBLL environment. The study also puts forward ideas for instructional best practices based on research findings and suggests future areas of development and investigation.",2015
73,DIGITAL GAMING AND LANGUAGE LEARNING: AUTONOMY AND COMMUNITY,Learner Autonomy; Second Language Acquisition; Computer-Assisted Language Learning,VIDEO GAME; AFFORDANCES,"The relationship between digital game play and second language (L2) learning is a particularly tricky issue in East Asia. Though there is an emerging presence of Chinese online games, many more young people are playing the English- or Japanese-language versions of the most popular commercial off-the-shelf (COTS) video games. In other words, most Chinese gamers are playing L2 digital games in their leisure time. Informed by research on out-of-class L2 learning, this paper discusses findings from an exploratory study investigating L2 gaming and learning practices in young people's everyday lives. Drawing on rich data from gaming sessions, stimulated recall, focus group discussion, individual interviews and online discussion forums, this paper argues that gamers exercise autonomy by managing their gameplay both as leisure and learning practices in different dimensions (location, formality, locus of control, pedagogy and trajectory). At the same time, gameplay-as-learning practices are supported by wider communities of digital gamers who take on roles as language teachers and advisers. The paper suggests that activities in these dimensions mediated learning autonomously and from community, and discusses the research and pedagogical implications for L2 gaming and learning.",2014
74,"Digital storytelling as a Study Abroad Project in Spanish: learnings, difficulties and changes",Digital Storytelling; SLA; Multiliteracies; creativity; Study Abroad,STORIES; CONSTRUCTION; IDENTITY; TOOL,"This study explores university students' perceptions about creating a digital story about their Study Abroad (SA) experience. The process is inspired by the autobiographical model proposed by Story Center (storycenter.org) with some adaptations to the Spanish as a second language (L2) context. The topic of the project focuses on intercultural and/or target language learning discovery narratives. This study collects data through two questionnaires completed by 162, 98 and 46 volunteer participants (before the project, after and in both cases). Although motivation was the main initial emotion, inexperience with video editing tools generated an attitude of stress in some students that interfered with perception of an opportunity for learning. This result matches a significantly higher time spent in editing than in writing, the essential task of the digital storytelling process. Findings showed a more positive final perception. Different learnings are analyzed in relation to (a) linguistic-communicative, both in oral and written expression, (b) social and (c) biografical and identity sense-making aspects.",2022
