Year,Category,QN,Passage
2018,Infer-Logic,Q35,"In the context of SNS, media literacy has been argued to
be especially important in order to make the users aware
of their rights when using SNS tools, and also help them
acquire or reinforce human rights values and develop the
behaviour necessary to respect other people_s rights and
freedoms. With regard to peer-to-peer risks such as
bullying, this last element is of particular importance. This
relates to a basic principle that children are taught in the
offline world as well: do not do to others what you would
not want others to do to you.  This should also be a golden rule with regard
to SNS, but for children and young people it is much more
difficult to estimate the consequences and potential serious
impact of their actions in this environment. Hence, raising
awareness of children from a very early age about the
particular characteristics of SNS and the potential long-term
impact of a seemingly trivial act is crucial."
2017,Infer-Logic,Q35,"Most often, you will find or meet people who introduce
themselves in terms of their work or by what they spend time
on. These people introduce themselves as a salesman or an
executive. There is nothing criminal in doing this, but
psychologically, we become what we believe. People who follow this practice
tend to lose their individuality and begin to live with the notion
that they are recognized by the job they do. However, jobs
may not be permanent, and you may lose your job for
countless reasons, some of which you may not even be
responsible for. In such a case, these people suffer from an
inevitable social and mental trauma, leading to emotional
stress and a feeling that all of a sudden they have been
disassociated from what once was their identity."
2016,Infer-Logic,Q35,"Some people make few intentional changes in life. Sure,
over time they may get fatter, gather lines, and go gray. But they wear their hair the same way, buy the same
brand of shoes, eat the same breakfast, and stick to
routines for no reason other than the ease of a
comfortable, predictable life. Yet as both research and
real life show, many others do make important changes. They train for marathons, quit smoking, switch fields,
write plays, take up the guitar, or learn to tango even if
they never danced before in their lives. What is the
difference between these two groups of people? It is their perspective. People who change do not question
whether change is possible or look for reasons they
cannot change. They simply decide on a change they
want and do what is necessary to accomplish it.
Changing, which always stems from a firm decision,
becomes job number one."
2015,Infer-Logic,Q35,"A currently popular attitude is to blame technology or
technologists for having brought on the environmental
problems we face today, and thus to try to slow technological
advance by blocking economic growth. We believe this view
to be thoroughly misguided. If technology produced
automobiles that pollute the air, it is because pollution was not
recognized as a problem which engineers had to consider in
their designs. Obviously,
technology that produces pollution is generally cheaper, but
now that it has been decided that cleaner cars are wanted, less
polluting cars will be produced; cars which scarcely pollute at
all could even be made. This last option, however, would
require several years and much investment. Although
technology is responsive to the will of the people, it can
seldom respond instantaneously and is never free."
2022,Infer-Logic,Q34,"Precision and determinacy are a necessary requirement for
all meaningful scientific debate, and progress in the sciences
is, to a large extent, the ongoing process of achieving ever
greater precision. But historical representation puts a premium
on a proliferation of representations, hence not on the
refinement of one representation but on the production of
an ever more varied set of representations. Historical insight
is not a matter of a continuous narrowing down of previous
options, not of an approximation of the truth, but, on the
contrary, is an explosion of possible points of view. It
therefore aims at the unmasking of previous illusions of
determinacy and precision by the production of new and
alternative representations, rather than at achieving truth by
a careful analysis of what was right and wrong in those
previous representations. And from this perspective, the
development of historical insight may indeed be regarded by the
outsider as a process of creating ever more confusion, a continuous
questioning of certainty and precision seemingly achieved already,
rather than, as in the sciences, an ever greater approximation
to the truth. ["
2021,Infer-Logic,Q34,"Successful integration of an educational technology is
marked by that technology being regarded by users as an
unobtrusive facilitator of learning, instruction, or performance.
When the focus shifts from the technology being used to the
educational purpose that technology serves, then that
technology is becoming a comfortable and trusted element,
and can be regarded as being successfully integrated. Few
people give a second thought to the use of a ball-point pen
although the mechanisms involved vary some use a twist
mechanism and some use a push button on top, and there are
other variations as well. Personal computers have reached a
similar level of familiarity for a great many users, but certainly
not for all. New and emerging technologies often introduce
both fascination and frustration with users. As long as the user_s focus is on the technology itself rather than its use in
promoting learning, instruction, or performance, then one
ought not to conclude that the technology has been successfully
integrated at least for that user."
2020,Infer-Logic,Q34,"There have been many attempts to define what music is in
terms of the specific attributes of musical sounds. The famous
nineteenth-century critic Eduard Hanslick regarded the
measurable tone as the primary and essential condition of all
music. Musical sounds, he was saying, can be distinguished
from those of nature by the fact that they involve the use of
fixed pitches, whereas virtually all natural sounds consist of
constantly fluctuating frequencies. And a number of
twentieth-century writers have assumed, like Hanslick, that
fixed pitches are among the defining features of music. Now it
is true that in most of the world_s musical cultures, pitches are not only fixed, but organized into a series of discrete steps. However,
this is a generalization about music and not a definition of it,
for it is easy to put forward counter-examples. Japanese
shakuhachi music and the sanjo music of Korea, for instance,
fluctuate constantly around the notional pitches in terms of
which the music is organized."
2019,Infer-Logic,Q34,"The human species is unique in its ability to expand its
functionality by inventing new cultural tools. Writing, arithmetic,
science all are recent inventions. Our brains did not have
enough time to evolve for them, but I reason that they were made
possible because we can mobilize our old areas in novel ways.
When we learn to read, we recycle a specific region of our
visual system known as the visual word-form area, enabling us
to recognize strings of letters and connect them to language
areas. Likewise, when we learn Arabic numerals we build a
circuit to quickly convert those shapes into quantities a fast
connection from bilateral visual areas to the parietal quantity
area. Even an invention as elementary as finger-counting changes
our cognitive abilities dramatically. Amazonian people who have
not invented counting are unable to make exact calculations as
simple as, say, 6?2. This cultural recycling implies that the
functional architecture of the human brain results from a complex
mixture of biological and cultural constraints."
2018,Infer-Logic,Q34,"Over the past 60 years, as mechanical processes have
replicated behaviors and talents we thought were unique to
humans, we have had to change our minds about what sets
us apart. As we invent more species of AI, we will be
forced to surrender more of what is supposedly unique
about humans. Each step of surrender we are not the only
mind that can play chess, fly a plane, make music, or invent
a mathematical law  will be painful and sad. We will spend
the next three decades  indeed, perhaps the next century 
in a permanent identity crisis, continually asking ourselves
what humans are good for. If we are not unique toolmakers,
or artists, or moral ethicists, then what, if anything, makes
us special? In the grandest irony of all, the greatest benefit
of an everyday, utilitarian AI will not be increased
productivity or an economics of abundance or a new way of
doing science although all those will happen. The
greatest benefit of the arrival of artificial intelligence is that AIs will help define humanity."
2017,Infer-Logic,Q34,"Over a period of time the buildings which housed social,
legal, religious, and other rituals evolved into forms that we
subsequently have come to recognize and associate with those buildings function.
This is a two-way process; the building provides the physical
environment and setting for a particular social ritual such as
traveling by train or going to the theater, as well as the
symbolic setting. The meaning of buildings evolves and
becomes established by experience and we in turn read our
experience into buildings. Buildings arouse an empathetic
reaction in us through these projected experiences, and the
strength of these reactions is determined by our culture, our
beliefs, and our expectations. They tell stories, for their form
and spatial organization give us hints about how they should be
used. Their physical layout encourages some uses and inhibits
others; we do not go backstage in a theater unless especially
invited. Inside a law court the precise location of those
involved in the legal process is an integral part of the design
and an essential part of ensuring that the law is upheld."
2016,Infer-Logic,Q34,"Long before Walt Whitman wrote Leaves of Grass, poets had
addressed themselves to fame. Horace, Petrarch, Shakespeare,
Milton, and Keats all hoped that poetic greatness would grant
them a kind of earthly immortality. Whitman held a similar
faith that for centuries the world would value his poems. But
to this ancient desire to live forever on the page, he added a
new sense of fame. Readers would not simply attend to the
poet_s work; they would be attracted to the greatness of his
personality. They would see in his poems a vibrant cultural
performance, an individual springing from the book with
tremendous charisma and appeal. Out of the political rallies
and electoral parades that marked Jacksonian America, Whitman
defined poetic fame in relation to the crowd. Other poets
might look for their inspiration from the goddess of poetry.
Whitman_s poet sought immortality in literature itself.
In the instability of American democracy, fame would be
dependent on celebrity, on the degree to which the people
rejoiced in the poet and his work."
2015,Infer-Logic,Q34,"New media can be defined by four characteristics
simultaneously: they are media at the turn of the 20th and 21st
centuries which are both integrated and interactive and use
digital code and hypertext as technical means. It follows that
their most common alternative names are multimedia,
interactive media and digital media. By using this definition,
it is easy to identify media as old or new. For example,
traditional television is integrated as it contains images, sound
and text, but it is not interactive or based on digital code. The
plain old telephone was interactive, but not integrated as it
only transmitted speech and sounds and it did not work with
digital code. In contrast, the new medium of interactive
television adds interactivity and digital code. Additionally,
the new generations of mobile or fixed telephony are fully
digitalized and integrated as they add text, pictures or video
and they are connected to the Internet."
2022,Infer-Logic,Q33,"Elinor Ostrom found that there are several factors critical to
bringing about stable institutional solutions to the problem of
the commons. She pointed out, for instance, that the actors
affected by the rules for the use and care of resources must
have the right to participate in decisions to change the rules.
For that reason, the people who monitor and control the
behavior of users should also be users and/or have been given
a mandate by all users. This is a significant insight, as it shows
that prospects are poor for a centrally directed solution to the
problem of the commons coming from a state power in
comparison with a local solution for which users assume
personal responsibility. Ostrom also emphasizes the importance
of democratic decision processes and that all users must be
given access to local forums for solving problems and conflicts
among themselves. Political institutions at central, regional,
and local levels must allow users to devise their own regulations
and independently ensure observance."
2021,Infer-Logic,Q33,"Thanks to newly developed neuroimaging technology, we
now have access to the specific brain changes that occur during
learning. Even though all of our brains contain the same basic
structures, our neural networks are as unique as our fingerprints.
The latest developmental neuroscience research has shown
that the brain is much more malleable throughout life than
previously assumed; it develops in response to its own
processes, to its immediate and distant environments, and
to its past and current situations. The brain seeks to create
meaning through establishing or refining existing neural
networks. When we learn a new fact or skill, our neurons
communicate to form networks of connected information. Using
this knowledge or skill results in structural changes to allow
similar future impulses to travel more quickly and efficiently
than others. High-activity synaptic connections are stabilized
and strengthened, while connections with relatively low use are
weakened and eventually pruned. In this way, our brains are sculpted by our own history of experiences."
2020,Infer-Logic,Q33,"The future of our high-tech goods may lie not in the limitations
of our minds, but in our ability to secure the ingredients to produce them.
In previous eras, such as the Iron Age and the Bronze Age, the
discovery of new elements brought forth seemingly unending
numbers of new inventions. Now the combinations may truly be
unending. We are now witnessing a fundamental shift in our
resource demands. At no point in human history have we used
more elements, in more combinations, and in increasingly refined
amounts. Our ingenuity will soon outpace our material supplies.
This situation comes at a defining moment when the world is
struggling to reduce its reliance on fossil fuels. Fortunately, rare
metals are key ingredients in green technologies such as electric
cars, wind turbines, and solar panels. They help to convert free
natural resources like the sun and wind into the power that fuels
our lives. But without increasing today_s limited supplies, we
have no chance of developing the alternative green technologies
we need to slow climate change."
2019,Infer-Logic,Q33,"Heritage is concerned with the ways in which very selective
material artefacts, mythologies, memories and traditions
become resources for the present. The contents, interpretations
and representations of the resource are selected according to
the demands of the present; an imagined past provides
resources for a heritage that is to be passed onto an imagined
future. It follows too that the meanings and functions of
memory and tradition are defined in the present. Further,
heritage is more concerned with meanings than material
artefacts. It is the former that give value, either cultural or
financial, to the latter and explain why they have been selected
from the near infinity of the past. In turn, they may later be
discarded as the demands of present societies change, or even,
as is presently occurring in the former Eastern Europe, when
pasts have to be reinvented to reflect new presents. Thus
heritage is as much about forgetting as remembering the past."
2018,Infer-Logic,Q33,"In the less developed world, the percentage of the
population involved in agriculture is declining, but at the
same time, those remaining in agriculture are not benefiting
from technological advances. The typical scenario in the less
developed world is one in which a very few commercial
agriculturalists are technologically advanced while the vast
majority are incapable of competing. Indeed, this vast majority 
have lost control over their own production
 because of larger global causes. As an example, in Kenya, farmers are
actively encouraged to grow export crops such as tea and
coffee at the expense of basic food production. The result is
that a staple crop, such as maize, is not being produced in a
sufficient amount. The essential argument here is that the
capitalist mode of production is affecting peasant production
in the less developed world in such a way as to limit the
production of staple foods, thus causing a food problem."
2017,Infer-Logic,Q33,"Grief is unpleasant. Would one not then be better off
without it altogether? Why accept it even when the loss is
real? Perhaps we should say of it what Spinoza said of regret:
that whoever feels it is twice unhappy or twice helpless.
Laurence Thomas has suggested that the utility of negative
sentiments (emotions like grief, guilt, resentment, and anger,
which there is seemingly a reason to believe we might be
better off without) lies in their providing a kind of guarantee
of authenticity for such dispositional sentiments as love
and respect. No occurrent feelings of love and respect need
to be present throughout the period in which it is true that
one loves or respects. One might therefore sometimes
suspect, in the absence of the positive occurrent feelings, that one no longer loves. At such times,
negative emotions like grief offer a kind of testimonial to the
authenticity of love or respect. ["
2016,Infer-Logic,Q33,"Research and development for seed improvement has long
been a public domain and government activity for the
common good. However, private capital started to flow into
seed production and took it over as a sector of the economy,
creating an artificial split between the two aspects of the
seed_s nature: its role as means of production and its role as
product. This process gained pace after the invention of
hybrid breeding of maize in the late 1920s. Today most maize
seed cultivated are hybrids. The companies that sell them are
able to keep the distinct parent lines from farmers, and the
grain that they produce is not suited for seed saving and
replanting. The combination guarantees that farmers will
have to buy more seed from the company each season. In the
1990s the extension of patent laws as the only intellectual
property rights tool into the area of seed varieties started to
create a growing market for private seed companies."
2015,Infer-Logic,Q33,"According to a renowned French scholar, the growth in the
size and complexity of human populations was the driving
force in the evolution of science. Early, small communities had
to concentrate all their physical and mental effort on survival;
their thoughts were focused on food and religion. As
communities became larger, some people had time to reflect
and debate. They found that they could understand and predict
events better if they reduced passion and prejudice, replacing
these with observation and inference. But while a large
population may have been necessary, in itself it was not
sufficient for science to germinate. Some empires were big,
but the rigid social control required to hold an empire together
was not beneficial to science, just as it was not beneficial to
reason. The early nurturing and later flowering of science required a large and loosely structured, competitive community 
to support original thought and freewheeling incentive. The rise in
commerce and the decline of authoritarian religion allowed
science to follow reason in seventeenth-century Europe."
2022,Infer-Logic,Q32,"News, especially in its televised form, is constituted not
only by its choice of topics and stories but by its verbal and visual idioms or modes of address. Presentational
styles have been subject to a tension between an
informational-educational purpose and the need to engage us
entertainingly. While current affairs programmes are often serious in tone sticking to the rules of balance, more
popular programmes adopt a friendly, lighter, idiom in which
we are invited to consider the impact of particular news items
from the perspective of the average person in the street.
Indeed, contemporary news construction has come to rely on an
increased use of faster editing tempos and flashier presentational
styles including the use of logos, sound-bites, rapid visual cuts
and the star quality of news readers. Popular formats can be
said to enhance understanding by engaging an audience unwilling
to endure the longer verbal orientation of older news formats.
However, they arguably work to reduce understanding by
failing to provide the structural contexts for news events."
2021,Infer-Logic,Q32,"Choosing similar friends can have a rationale. Assessing
the survivability of an environment can be risky (if an
environment turns out to be deadly, for instance, it might be
too late by the time you found out), so humans have evolved
the desire to associate with similar individuals as a way to
perform this function efficiently. This is especially useful to a
species that lives in so many different sorts of environments.
However, the carrying capacity of a given environment places a limit on this strategy. If resources
are very limited, the individuals who live in a particular place
cannot all do the exact same thing (for example, if there are
few trees, people cannot all live in tree houses, or if mangoes
are in short supply, people cannot all live solely on a diet of
mangoes). A rational strategy would therefore sometimes be to
avoid similar members of one_s species."
2020,Infer-Logic,Q32,"The Swiss psychologist Jean Piaget frequently analyzed
children_s conception of time via their ability to compare or
estimate the time taken by pairs of events. In a typical
experiment, two toy cars were shown running synchronously
on parallel tracks, one running faster and stopping further down the track.
The children were then asked to judge whether the cars had
run for the same time and to justify their judgment.
Preschoolers and young school-age children confuse temporal
and spatial dimensions: Starting times are judged by starting
points, stopping times by stopping points and durations by
distance, though each of these errors does not necessitate the
others. Hence, a child may claim that the cars started and
stopped running together (correct) and that the car which
stopped further ahead, ran for more time (incorrect)."
2019,Infer-Logic,Q32,"Minorities tend not to have much power or status and may
even be dismissed as troublemakers, extremists or simply weirdos. How, then, do they ever have any influence over the
majority? The social psychologist Serge Moscovici claims that
the answer lies in their behavioural style, i.e. the way the minority gets its point across. The crucial factor
in the success of the suffragette movement was that its
supporters were consistent in their views, and this created a
considerable degree of social influence. Minorities that are
active and organised, who support and defend their position
consistently, can create social conflict, doubt and uncertainty
among members of the majority, and ultimately this may lead
to social change. Such change has often occurred because a
minority has converted others to its point of view. Without the
influence of minorities, we would have no innovation, no
social change. Many of what we now regard as major social
movements (e.g. Christianity, trade unionism or feminism)
were originally due to the influence of an outspoken minority."
2018,Infer-Logic,Q32,"How many of the lunches that you ate over the last week
can you recall? Do you remember what you ate today? I hope
so. Yesterday? I bet it takes a moment_s effort. And what
about the day before yesterday? What about a week ago? It is
not so much that your memory of last week_s lunch has
disappeared; if provided with the right cue, like where you
ate it, or whom you ate it with, you would likely recall what
had been on your plate. Rather, it is difficult to remember last
week_s lunch because your brain has filed it away with all
the other lunches you have ever eaten as just another lunch.
When we try to recall something from a category that
includes as many instances as lunch or wine, many
memories compete for our attention. The memory of last
Wednesday_s lunch is not necessarily gone; it is that you lack the right hook to pull it out of a sea of lunchtime memories. But
a wine that talks: That is unique. It is a memory without rivals."
2017,Infer-Logic,Q32,"Temporal resolution is particularly interesting in the
context of satellite remote sensing. The temporal density of
remotely sensed imagery is large, impressive, and growing.
Satellites are collecting a great deal of imagery as you read
this sentence. However, most applications in geography and
environmental studies do not require extremely fine-grained
temporal resolution. Meteorologists may require visible,
infrared, and radar information at sub-hourly temporal
resolution; urban planners might require imagery at monthly
or annual resolution; and transportation planners may not
need any time series information at all for some applications.
Again, the temporal resolution of imagery used should meet the requirements of your inquiry. Sometimes
researchers have to search archives of aerial photographs to
get information from that past that pre-date the collection of
satellite imagery."
2016,Infer-Logic,Q32,"Some distinctions between good and bad are hardwired into
our biology. Infants enter the world ready to respond to pain as
bad and to sweet (up to a point) as good. In many situations,
however, the boundary between good and bad is a reference
point that changes over time and depends on the immediate
circumstances. Imagine that you are out in the country on a cold
night, inadequately dressed for the pouring rain, your clothes
soaked. A stinging cold wind completes your misery. As you
wander around, you find a large rock that provides some shelter
from the fury of the elements. The biologist Michel Cabanac
would call the experience of that moment intensely pleasurable
because it functions, as pleasure normally does, to indicate the
direction of a biologically significant improvement of circumstances.
The pleasant relief will not last very long, of course, and you
will soon be shivering behind the rock again, driven by your
renewed suffering to seek better shelter."
2015,Infer-Logic,Q32,"My friend was disappointed that scientific progress has not
cured the world_s ills by abolishing wars and starvation; that
gross human inequality is still widespread; that happiness is
not universal. My friend made a common mistake a basic
misunderstanding in the nature of knowledge. Knowledge is
amoral not immoral but morality neutral. It can be used for
any purpose, but many people assume it will be used to further
their favorite hopes for society and this is the fundamental flaw.
Knowledge of the world is one thing; its uses create a separate
issue. To be disappointed that our progress in understanding
has not remedied the social ills of the world is a legitimate
view, but to confuse this with the progress of knowledge is absurd.
To argue that knowledge is not progressing because of the
African or Middle Eastern conflicts misses the point. There is
nothing inherent in knowledge that dictates any specific social
or moral application. "
2022,Infer-Logic,Q31,"Humour involves not just practical disengagement but
cognitive disengagement. As long as something is funny, we
are for the moment not concerned with whether it is real or
fictional, true or false. This is why we give considerable
leeway to people telling funny stories. If they are getting extra
laughs by exaggerating the silliness of a situation or even by
making up a few details, we are happy to grant them comic
licence, a kind of poetic licence. Indeed, someone listening to
a funny story who tries to correct the teller. No, he did not
spill the spaghetti on the keyboard and the monitor, just on the
keyboard will probably be told by the other listeners to
stop interrupting. The creator of humour is putting ideas into
people_s heads for the pleasure those ideas will bring, not to
provide accurate information."
2021,Infer-Logic,Q31,"In the classic model of the Sumerian economy, the temple
functioned as an administrative authority governing commodity
production, collection, and redistribution. The discovery of
administrative tablets from the temple complexes at Uruk
suggests that token use and consequently writing evolved as a
tool of centralized economic governance. Given the lack of
archaeological evidence from Uruk-period domestic sites, it is
not clear whether individuals also used the system for personal agreements. 
For that matter, it is not clear
how widespread literacy was at its beginnings. The use of
identifiable symbols and pictograms on the early tablets is
consistent with administrators needing a lexicon that was
mutually intelligible by literate and nonliterate parties. As
cuneiform script became more abstract, literacy must have
become increasingly important to ensure one understood what
he or she had agreed to."
2020,Infer-Logic,Q31,"The role of science can sometimes be overstated, with its
advocates slipping into scientism. Scientism is the view that
the scientific description of reality is the only truth there is.
With the advance of science, there has been a tendency to slip
into scientism, and assume that any factual claim can be
authenticated if and only if the term scientific can correctly
be ascribed to it. The consequence is that non-scientific
approaches to reality and that can include all the arts,
religion, and personal, emotional and value-laden ways of
encountering the world  may become labelled as merely
subjective, and therefore of little account in terms of
describing the way the world is. The philosophy of science
seeks to avoid crude scientism and get a balanced view on
what the scientific method can and cannot achieve."
2019,Infer-Logic,Q31,"Finkenauer and Rim? investigated the memory of the
unexpected death of Belgium_s King Baudouin in 1993 in a
large sample of Belgian citizens. The data revealed that the
news of the king_s death had been widely socially shared. By
talking about the event, people gradually constructed a social
narrative and a collective memory of the emotional event. At
the same time, they consolidated their own memory of the
personal circumstances in which the event took place, an
effect known as flashbulb memory. The more an event is
socially shared, the more it will be fixed in people_s minds.
Social sharing may in this way help to counteract some natural
tendency people may have. Naturally, people should be driven
to forget undesirable events. Thus, someone who just heard
a piece of bad news often tends initially to deny what happened.
The repetitive social sharing of the bad news contributes to
realism."
2018,Infer-Logic,Q31,"Apocalypse Now, a film produced and directed by Francis
Ford Coppola, gained widespread popularity, and for good
reason. The film is an adaptation of Joseph Conrad_s novel
Heart of Darkness, which is set in the African Congo at the
end of the 19th century. Unlike the original novel, Apocalypse
Now is set in Vietnam and Cambodia during the Vietnam War.
The setting, time period, dialogue and other incidental details
are changed but the fundamental narrative and themes of
Apocalypse Now are the same as those of Heart of Darkness.
Both describe a physical journey, reflecting the central
character_s mental and spiritual journey, down a river to
confront the deranged Kurtz character, who represents the
worst aspects of civilisation. By giving Apocalypse Now a
setting that was contemporary at the time of its release,
audiences were able to experience and identify with its
themes more easily than they would have if the film had been a literal adaptation of the novel."
2017,Infer-Logic,Q31,"The creativity that children possess needs to be cultivated
throughout their development. Research suggests that
overstructuring the child_s environment may actually limit
creative and academic development. This is a central problem
with much of science instruction. The exercises or activities
are devised to eliminate different options and to focus on
predetermined results. The answers are structured to fit the
course assessments, and the wonder of science is lost along
with cognitive intrigue. We define cognitive intrigue as the
wonder that stimulates and intrinsically motivates an
individual to voluntarily engage in an activity. The loss of
cognitive intrigue may be initiated by the sole use of play
items with predetermined conclusions and reinforced by rote
instruction in school. This is exemplified by toys, games, and
lessons that are an end in and of themselves and
require little of the individual other than to master the planned
objective."
2016,Infer-Logic,Q31,"When two cultures come into contact, they do not
exchange every cultural item. If that were the case, there
would be no cultural differences in the world today. Instead,
only a small number of cultural elements ever spread from
one culture to another. Which cultural item is accepted
depends largely on the item_s use and compatibility with
already existing cultural traits. For example, it is not likely
that men_s hair dyes designed to get out the gray will spread
into parts of rural Africa where a person_s status is elevated
with advancing years. Even when an investigation is
consistent with a society_s needs, there is still no guarantee
that it will be accepted. For example, most people in the
United States using US customary units (e.g., inch, foot, yard,
mile, etc.) have resisted adopting the metric system even
though making such a change would enable US citizens to
interface with the rest of the world more efficiently."
2015,Infer-Logic,Q31,"The concept of humans doing multiple things at a time has
been studied by psychologists since the 1920s, but the term multitasking did not exist until the 1960s. It was used to
describe computers, not people. Back then, ten megahertz was
so fast that a new word was needed to describe a computer_s
ability to quickly perform many tasks. In retrospect, they
probably made a poor choice, for the expression multitasking
is inherently deceptive. Multitasking is about multiple tasks
alternately sharing one resource (the CPU), but in time the
context was flipped and it became interpreted to mean multiple
tasks being done simultaneously by one resource (a person). It
was a clever turn of phrase that is misleading, for even
computers can process only one piece of code at a time. When
they multitask, they switch back and forth, alternating their
attention until both tasks are done. The speed with which
computers tackle multiple tasks feeds the illusion that
everything happens at the same time, so comparing computers
to humans can be confusing. "
2022,Context,Q24,"Mending and restoring objects often require even more
creativity than original production. The preindustrial blacksmith
made things to order for people in his immediate community;
customizing the product, modifying or transforming it according
to the user, was routine. Customers would bring things back if
something went wrong; repair was thus an extension of
fabrication. With industrialization and eventually with mass
production, making things became the province of machine
tenders with limited knowledge. But repair continued to require
a larger grasp of design and materials, an understanding of the
whole and a comprehension of the designer_s intentions. 
Manufacturers all work by machinery or by vast subdivision
of labour and not, so to speak, by hand, an 1896 Manual of
Mending and Repairing explained. But all repairing must be
done by hand. We can make every detail of a watch or of a
gun by machinery, but the machine cannot mend it when
broken, much less a clock or a pistol!"
2021,Context,Q24,"People do not usually think of touch as a temporal
phenomenon, but it is every bit as time-based as it is spatial.
You can carry out an experiment to see for yourself. Ask a
friend to cup his hand, palm face up, and close his eyes. Place
a small ordinary object in his palm a ring, an eraser,
anything will do and ask him to identify it without moving
any part of his hand. He will  not have a clue other than weight
and maybe overall size. Then tell him to keep his eyes closed
and move his fingers over the object. He will most likely identify
it at once. By allowing the fingers to move, you have added time
to the sensory perception of touch. There is a direct analogy
between the fovea at the center of your retina and your
fingertips, both of which have high acuity. Your ability to
make complex use of touch, such as buttoning your shirt or
unlocking your front door in the dark, depends on continuous
time-varying patterns of touch sensation."
2020,Context,Q24,"A defining element of catastrophes is the magnitude of their
harmful consequences. To help societies prevent or reduce
damage from catastrophes, a huge amount of effort and
technological sophistication are often employed to assess and
communicate the size and scope of potential or actual losses.
This effort assumes that people can understand the resulting
numbers and act on them appropriately. However, recent
behavioral research casts doubt on this fundamental assumption.
Many people do not understand large numbers. Indeed, large
numbers have been found to lack meaning and to be
underestimated in decisions unless they convey affect (feeling).
This creates a paradox that rational models of decision making
fail to represent. On the one hand, we respond strongly to aid a
single individual in need. On the other hand, we often fail to
prevent mass tragedies or take appropriate measures to reduce
potential losses from natural disasters."
2019,Context,Q24,"A defining element of catastrophes is the magnitude of their
harmful consequences. To help societies prevent or reduce
damage from catastrophes, a huge amount of effort and
technological sophistication are often employed to assess and
communicate the size and scope of potential or actual losses.
This effort assumes that people can understand the resulting
numbers and act on them appropriately. However, recent
behavioral research casts doubt on this fundamental assumption.
Many people do not understand large numbers. Indeed, large
numbers have been found to lack meaning and to be
underestimated in decisions unless they convey affect (feeling).
This creates a paradox that rational models of decision making
fail to represent. On the one hand, we respond strongly to aid a
single individual in need. On the other hand, we often fail to
prevent mass tragedies or take appropriate measures to reduce
potential losses from natural disasters."
2018,Context,Q24,"Individual authors and photographers have rights to their
intellectual property during their lifetimes, and their heirs
have rights for 70 years after the creator_s death, so any
publication less than 125 years old has to be checked for its
copyright status. The duration of copyright protection has
increased steadily over the years; the life-plus-70-years
standard was set by the Copyright Term Extension Act of
1998, which increased the 50-year limit established by the
1976 Copyright Act. Supporters of such legislation like to
defend these increases with tales of starving writers and their
impoverished descendants, but in reality the beneficiaries are
more likely to be transnational publishing companies. And
note that copyright laws serve a dual purpose. In addition to
protecting the rights of authors so as to encourage the
publication of new creative works, copyright is also supposed
to place reasonable time limits on those rights so that
outdated works may be incorporated into new creative efforts.
Therefore, the extended copyright protection frustrates new
creative endeavors such as including poetry and song lyrics
on Internet sites."
2017,Context,Q24,"The film director, as compared to the theater director, has
as his material, the finished, recorded celluloid. This material
from which his final work is composed consists not of living
men or real landscapes, not of real, actual stage-sets, but only
of their images, recorded on separate strips that can be
shortened, altered, and assembled according to his will. The
elements of reality are fixed on these pieces; by combining
them in his selected sequence, shortening and lengthening
them according to his desire, the director builds up his own
filmic time and filmic space. He does not adapt reality,
but uses it for the creation of a new reality, and the most
characteristic and important aspect of this process is that, in it,
laws of space and time invariable and inescapable in work
with actuality become obedient. The film assembles from
them a new reality proper only to itself."
2016,Context,Q24,"When we remark with surprise that someone looks young
for his or her chronological age, we are observing that we
all age biologically at different rates. Scientists have good
evidence that this apparent difference is real. It is likely that age
changes begin in different parts of the body at different times
and that the rate of annual change varies among various cells,
tissues, and organs, as well as from person to person. Unlike
the passage of time, biological aging resists easy measurement.
What we would like to have is one or a few measurable
biological changes that mirror all other biological age changes
without reference to the passage of time, so that we could say,
for example, that someone who is chronologically eighty years
old is biologically sixty years old. This kind of measurement
would help explain why one eighty-year-old has so many more
youthful qualities than does another eighty-year-old, who may
be biologically eighty or even ninety years old."
2015,Context,Q24,"The key to successful risk taking is to understand that the
actions you are taking should be the natural next step. One of
the mistakes we often make when confronting a risk situation
is our tendency to focus on the end result. Skiers who are
unsure of themselves often do this. They will go to the edge of a
difficult slope, look all the way down to the bottom, and
determine that the slope is too steep for them to try. The ones
that decide to make it change their focus by analyzing what
they need to do to master the first step, like getting through
the first mogul on the hill. Once they get there, they
concentrate on the next mogul, and over the course of the run,
they end up at the bottom of what others thought was an
impossible mountain."
2022,Context,Q23,"Scientists use paradigms rather than believing them. The use
of a paradigm in research typically addresses related problems
by employing shared concepts, symbolic expressions,
experimental and mathematical tools and procedures, and even
some of the same theoretical statements. Scientists need only
understand how to use these various elements in ways that
others would accept. These elements of shared practice thus
need not presuppose any comparable unity in scientists beliefs
about what they are doing when they use them. Indeed, one role
of a paradigm is to enable scientists to work successfully
without having to provide a detailed account of what they are
doing or what they believe about it. Thomas Kuhn noted that
scientists can agree in their identification of a paradigm without
agreeing on, or even attempting to produce, a full interpretation
or rationalization of it. Lack of a standard interpretation or of
an agreed reduction to rules will not prevent a paradigm from
guiding research."
